ward,category,program_name,min_age_months,max_age_months,income_condition,program_type,amount_or_content,application_channel,required_documents,has_deadline,deadline_rule,source_url,fetched_at,reviewed_by,notes
品川区,出産祝い金・出産費用助成,(該当制度なし),,,,,,,,0,,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-ninnshinn/20230120091157.html,2026-09-06,,調査の結果、区独自の出産関連上乗せ制度は確認できず
目黒区,出産祝い金・出産費用助成,ゆりかご・めぐろ(育児用品カタログギフト),,,なし,現物給付,1万円相当の育児用品カタログギフト,窓口 or オンライン,母子健康手帳等,1,出産後の申請(詳細は公式サイトで要確認),https://www.city.meguro.tokyo.jp/kokuho/kurashi/kokuho/shussan_itijikin.html,2026-09-06,,出産費用への現金上乗せは確認できず。小規模な現物ギフトのみ確認(要公式ページでの詳細確認)
大田区,出産祝い金・出産費用助成,(該当制度なし),,,,,,,,0,,https://www.city.ota.tokyo.jp/seikatsu/kodomo/shussan/ninpunotamenosienkyuhu.html,2026-09-06,,調査の結果、区独自の出産費用上乗せ制度は確認できず(国の妊婦のための支援給付の窓口実施が中心)
世田谷区,出産祝い金・出産費用助成,(該当制度なし),,,,,,,,0,,https://www.city.setagaya.lg.jp/02244/1178.html,2026-09-06,,従前の「出産・子育て応援ギフト」は令和8年3月31日で申請受付終了。現時点で新たな区独自の出産費用上乗せ制度は確認できず
渋谷区,出産祝い金・出産費用助成,ハッピーマザー出産助成金,,,なし,現金給付,1回の出産につき限度額10万円(加入健保からの付加給付がある場合はその額を控除),LINEで申請しATMで受取,マイナンバーカード等本人確認書類・母子健康手帳の出生記録,1,"出産日の3か月前から申請日まで区内継続居住が条件、出産後の申請(詳細期限は公式サイトで要確認)",https://kosodate.okadamari.com/article/kosodate_ninshinteate.html,2026-09-06,,公式ページ(渋谷区サイト)未確認・区議会議員サイトや報道記事からの情報。妊娠12週超の流産・死産も対象に含む
中野区,出産祝い金・出産費用助成,(該当制度なし),,,,,,,,0,,https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/nenreibetsu/ninshin/teate_zyosei/gift.html,2026-09-06,,調査の結果、区独自の出産費用上乗せ制度は確認できず
杉並区,出産祝い金・出産費用助成,(該当制度なし),,,,,,,,0,,https://www.city.suginami.tokyo.jp/s054/1125.html,2026-09-06,,調査の結果、区独自の出産費用上乗せ制度は明確には確認できず(要再確認)
豊島区,出産祝い金・出産費用助成,出産費用電子クーポン,,,なし,現物給付,出産育児一時金を超えて発生した費用をカバーする5万円相当の電子クーポン(子育て用品取扱の提携オンラインストアで使用可),オンライン,情報不足のため公式サイトで要確認,1,出産後の申請(詳細は公式サイトで要確認),https://www.city.toshima.lg.jp/219/kosodate/ninshin/shussanmade/syussankosodateouen.html,2026-09-06,,出産費用の中央値を基準にした独自クーポン制度
北区,出産祝い金・出産費用助成,(該当制度なし),,,,,,,,0,,https://www.city.kita.lg.jp/children-edu/pregnancy/index.html,2026-09-06,,調査の結果、区独自の出産費用上乗せ制度は確認できず(国制度の窓口実施が中心)
荒川区,出産祝い金・出産費用助成,ゆりかごギフト,,,なし,現物給付,1万円相当(ゆりかご面接時。妊婦支援給付金5万円とのダブル給付),保健所での面接後に申請案内,情報不足のため公式サイトで要確認,1,ゆりかご面接後に申請(詳細な期限は公式サイトで要確認),https://ikigai.town/ja/columns/kyufukin/cities/tokyo/%E8%8D%92%E5%B7%9D%E5%8C%BA.html,2026-09-06,,公式ページ未確認・まとめサイト情報。産後支援ボランティア派遣事業(35サポネットin荒川)も区独自
板橋区,出産祝い金・出産費用助成,(該当制度なし),,,,,,,,0,,https://www.city.itabashi.tokyo.jp/kosodate/ninshin/ninshin/1056054.html,2026-09-06,,調査の結果、区独自の出産費用上乗せ制度は確認できず
練馬区,出産祝い金・出産費用助成,(該当制度なし),,,,,,,,0,,https://www.city.nerima.tokyo.jp/kosodatekyoiku/shussan/nerimama.html,2026-09-06,,調査の結果、出産費用への上乗せ制度は確認できず。ただし妊婦面談時に1万円相当の電子ギフトを配付(小規模)
足立区,出産祝い金・出産費用助成,出産費助成事業,,,なし,実費償還,"子ども一人につき上限10万円。出産費用総額と出産育児一時金等との差額(自己負担分)を助成。通院時タクシー代や産後ケア費用も対象になる場合あり",窓口 or オンライン,出産費用の領収書等,1,出産後の申請(詳細な期限は公式サイトで要確認),https://www.city.adachi.tokyo.jp/oyako/k-kyoiku/kosodate/syussanhi-josei.html,2026-09-06,,出生日以前から区内在住かつ申請日時点で1年以上継続居住が条件
葛飾区,出産祝い金・出産費用助成,かつしか出産応援給付金 + マタニティパス,,,なし,現金給付,"かつしか出産応援給付金5万円+マタニティパス(交通系ICカードに6,000円チャージ)",窓口 or オンライン,情報不足のため公式サイトで要確認,1,出産後の申請(詳細は公式サイトで要確認),https://www.city.katsushika.lg.jp/kenkou/1000050/1001803/index.html,2026-09-06,,公式ページでの金額表記は未確認(まとめサイト情報の可能性あり、要再確認)。産後ケアの基本利用料も無料
江戸川区,出産祝い金・出産費用助成,乳児養育手当・ぴよママギフト等,0,11,なし,現金給付,"乳児養育手当(0歳児対象、月額13,000円、1969年から続く区独自制度)。他に、ぴよママギフト1万円相当(面談時)、ファーストバースデーサポート(1歳誕生日に第1子6万円/第3子以降8万円分電子ギフト)等、複数の独自給付あり",窓口 or オンライン,情報不足のため公式サイトで要確認,1,出生後の申請(詳細は公式サイトで要確認),https://www.city.edogawa.tokyo.jp/e052/kosodate/ninshin/kohukin/shussankosodate.html,2026-09-06,,乳児養育手当は江戸川区独自の長期継続制度として特に注目に値する(要公式ページでの金額再確認)
千代田区,産後ケア事業,産後ケア事業(宿泊型・通所型・訪問型),0,12,"なし(要確認)",クーポン・利用料減免,"宿泊型8,000〜15,000円/通所型5,000〜7,000円/訪問型1,000円(目安、区が一部負担)",窓口(子育て推進課),母子健康手帳,0,,https://www.city.chiyoda.lg.jp/koho/kosodate/kosodate/ninshin/sango.html,2026-09-06,,対象は産後1年未満の母子
中央区,産後ケア事業,産後ケア事業,0,,"要確認(施設一覧PDF参照)",クーポン・利用料減免,"施設ごとの利用者負担額は施設一覧PDF参照。医療的ケア児・多胎児・低出生体重児等の事情がある方が対象",窓口,母子健康手帳,0,,https://www.city.chuo.lg.jp/a0031/kosodate/shussan/shussanshien/user_fkensu_time_20170323.html,2026-09-06,,対象要件がやや特殊(医療的ケア児・多胎児等)で要個別確認
新宿区,産後ケア事業,産後ケア事業(ショートステイ型・デイサービス型・アウトリーチ型),0,,"なし(要確認)",クーポン・利用料減免,"アウトリーチ型1回1,000円(最大3回、双子6回)/宿泊型1泊2日約8,000円/日帰り型1回約2,000円",保健センター窓口(牛込・四谷・東新宿・落合)/郵送/電子申請,母子健康手帳,0,,https://www.city.shinjuku.lg.jp/fukushi/postpartum_care.html,2026-09-06,,
文京区,産後ケア事業,産後ケア事業(宿泊型・デイサービス型サロン・訪問型),0,,"なし(要確認)",クーポン・利用料減免,"最大5回まで1回2,500円に減免(訪問型含む)",窓口,"母子健康手帳・利用承認通知書",0,,https://www.city.bunkyo.lg.jp/b029/p001560.html,2026-09-06,,
台東区,産後ケア事業,産後ケア(宿泊型・日帰り型/外来型・訪問型乳房ケア),0,4,"要確認(課税状況により自己負担額が変動)",クーポン・利用料減免,"施設設定額から区負担額を差し引いた額を自己負担(課税状況により異なる)",窓口,母子健康手帳,0,,https://www.city.taito.lg.jp/kosodatekyouiku/kosodate/mokutei/kenkou_iryou/shussan/sangocare.html,2026-09-06,,外来型・訪問型乳房ケアは産後1年未満まで対象(宿泊型・日帰り型は4ヶ月未満)
墨田区,産後ケア事業,産後ケア事業(宿泊型・日帰り型・外来型・訪問型),0,12,"住民税非課税世帯・生活保護世帯は免除",クーポン・利用料減免,"宿泊型1泊2日14,000円〜/日帰り型1回3,000円〜/外来型・訪問型各1回1,000円",窓口,母子健康手帳,0,,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/oyako_kenko/sangoriyou/index.html,2026-09-06,,宿泊型・日帰り型は原則産後4ヶ月未満、他は1年未満
江東区,産後ケア事業,産後ケア事業(日帰り型・スポット型・訪問型),0,12,"要確認",クーポン・利用料減免,"日帰り型は2026年3月まで3,500円、4月以降5,000円/回(2回まで)。乳房ケア(外来・訪問)は合わせて2回まで。宿泊型は5泊6日まで",窓口,母子健康手帳,0,,https://www.city.koto.lg.jp/260501/kodomo/ninshinshussan/kenko/99710.html,2026-09-06,,日帰り型は産後4ヶ月未満、スポット型は1年未満
品川区,産後ケア事業,産後ケア事業(訪問型・日帰り型(個別/集団)・宿泊型),0,12,"住民税非課税世帯は半額、生活保護世帯は免除",クーポン・利用料減免,"日帰り型(個別)・訪問型は合わせて5回まで(超過分は自費)",窓口,母子健康手帳,0,,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-ninnshinn/kodomo-ninnshinn-umaretara/20240328204226.html,2026-09-06,,対象は産後1年未満の母子
目黒区,産後ケア事業,産後ケア事業(通所個別型・訪問型・宿泊型),0,12,"要確認",クーポン・利用料減免,"宿泊型は1泊2日7,500円(1泊2,500円減免適用後、最大5泊まで加算)",窓口(申請から利用まで概ね2週間),母子健康手帳,0,,https://www.city.meguro.tokyo.jp/chiikihoken/kosodatekyouiku/ninshin/sanngokea-tsusyokobetsu.html,2026-09-06,,通所個別型は産後4ヶ月未満、訪問型は1年未満
大田区,産後ケア事業,産後ケア事業(グループケア型 等),0,12,"生活保護受給者は受給者証提示で免除",クーポン・利用料減免,"詳細な利用料は公式サイト参照(生活保護世帯は免除)",窓口,母子健康手帳,0,,https://www.city.ota.tokyo.jp/seikatsu/kodomo/shussan/sango-care.html,2026-09-06,,産後1年未満(グループケア型は5ヶ月未満)。早産児(在胎37週未満)は修正月齢を適用
世田谷区,産後ケア事業,産後ケア事業クーポン,0,4,"住民税課税世帯はクーポン配布/非課税世帯等は利用者負担金自体が0円で減免",クーポン・利用料減免,"宿泊型2,000円/泊・アウトリーチ型0円(クーポン1産婦あたり5枚)",オンライン or 子ども家庭支援センター,母子健康手帳,0,,https://www.city.setagaya.lg.jp/03648/1210.html,2026-09-06,,対象は生後4日〜4ヶ月未満、登録は妊娠28週以降から可能
渋谷区,産後ケア事業,産後ケア事業(宿泊型・訪問型・デイサービス型),0,12,"生活保護世帯は全タイプ免除、その他減免制度あり",クーポン・利用料減免,"宿泊型は最大5日間・1泊2日7,000円(以降1日+3,500円)。デイサービス型は令和8年4月から7回に拡充・1回2,000円",LINE/郵送/窓口,母子健康手帳,0,,https://www.city.shibuya.tokyo.jp/kodomo/ninshin/ninshin-sodan/sango_care.html,2026-09-06,,申請受付は妊娠28週以降〜利用14日前まで
中野区,産後ケア事業,中野区産後ケア事業(ショートステイ・デイケア・アウトリーチ),0,5,"生活保護世帯・住民税非課税世帯は無料",クーポン・利用料減免,"ショートステイ1回3,000円・1泊2日6,000円(最大7回まで)",事前に「かんがるー面接」実施後、窓口で申請,母子健康手帳,0,,https://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/nenreibetsu/syussan/sangoshien/sangocare.html,2026-09-06,,対象は産後満5ヶ月になる前日まで
杉並区,産後ケア事業,産後ケア事業(宿泊型・日帰り型),0,7,"要確認",クーポン・利用料減免,"区の定める利用者負担金(施設により異なる、詳細は施設に確認)",窓口(利用承認後に施設予約),"母子健康手帳・利用承認通知書",0,,https://www.city.suginami.tokyo.jp/s054/1123.html,2026-09-06,,令和7年4月に対象月齢を6ヶ月未満→7ヶ月未満に拡大
豊島区,産後ケア事業,産後ケア事業(宿泊型・通所型・訪問型),0,12,"要確認",クーポン・利用料減免,"利用者負担額あり(具体額は要問合せ)。流産・死産経験者も利用可",窓口(健康推進課),"母子健康手帳・利用承認通知書兼利用券",0,,https://www.city.toshima.lg.jp/565/kenko/kenko/1804131444.html,2026-09-06,,宿泊型・通所型は概ね4ヶ月未満、訪問型は概ね1年未満
北区,産後ケア事業,産後ケア事業(宿泊型・日帰り型・訪問型),0,,"要確認",クーポン・利用料減免,"日帰り型は自己負担2,500円(他タイプは施設ごとに異なる)",窓口,母子健康手帳,0,,https://www.city.kita.lg.jp/children-edu/pregnancy/1018244/1002787.html,2026-09-06,,感染症等がある場合は利用不可
荒川区,産後ケア事業,荒川区産後ケア事業(宿泊型・日帰り型・訪問型),0,12,"住民税非課税世帯等は減免、生活保護世帯は全額免除",クーポン・利用料減免,"(令和8年4月以降)宿泊型1日31,700円/日帰り型1日22,500円/訪問型1日6,500円(いずれも一般・母子世帯。多胎児加算あり)",窓口,"母子健康手帳・課税状況等を証する書類",0,,https://www.city.arakawa.tokyo.jp/a035/ninshinshussan/ninsampushien/sangokea_reiwa7.html,2026-09-06,,金額は施設設定額とみられ、区の助成後の実質自己負担額は別途要確認
板橋区,産後ケア事業,産後ケア事業(宿泊型・通所型・訪問型),0,,"非課税世帯・生活保護世帯は全タイプ免除",クーポン・利用料減免,"通所型2,000円(7回まで)。多胎児は2人目以降の利用料免除(令和7年4月〜)",窓口(妊娠8ヶ月以降に利用登録申請),"母子健康手帳・利用登録申請書",0,,https://www.city.itabashi.tokyo.jp/kosodate/ninshin/ninshin/1051233.html,2026-09-06,,
練馬区,産後ケア事業,産後ケア事業(ショートステイ・デイケア・訪問),0,12,"要確認",クーポン・利用料減免,"1,500円(12回まで)",窓口,母子健康手帳,0,,https://www.city.nerima.tokyo.jp/hokenfukushi/hoken/sukoyaka/sango-keajigyou.html,2026-09-06,,ショートステイは概ね産後4ヶ月まで、他は1年未満
足立区,産後ケア事業,産後ケア(デイサービス型 等),0,12,"要確認",クーポン・利用料減免,"自己負担額あり(具体額は要問合せ)",窓口(保健予防課。妊娠28週以降〜利用2週間前までに申請),母子健康手帳,0,,https://www.city.adachi.tokyo.jp/hoken/fukushi-kenko/kenko/sangokea.html,2026-09-06,,施設(Ohana/すこやかプラザあだち等)により対象月齢が4ヶ月未満/1年未満と異なる
葛飾区,産後ケア事業,産後ケア事業(宿泊型・日帰り型・訪問型),0,12,"要確認",クーポン・利用料減免,"宿泊型1泊2日8,000円(1日追加4,000円、6泊7日まで)/日帰り型1日2,000円(7回まで)/訪問型1回600円(5回まで)",窓口,母子健康手帳,0,,https://www.city.katsushika.lg.jp/kenkou/1000050/1001803/1030308/index.html,2026-09-06,,健診日・予防接種日とその翌日は利用不可。宿泊/日帰りは4ヶ月未満、訪問は1年未満
江戸川区,産後ケア事業,産後ケア事業(訪問型・宿泊型・デイサービス型),0,4,"要確認",クーポン・利用料減免,"訪問型1回2,000円(3回まで)。宿泊型・デイサービス型は施設により異なる。多胎児は追加料金無料",窓口,母子健康手帳,0,,https://www.city.edogawa.tokyo.jp/e052/kosodate/ninshin/sangokea/houmon.html,2026-09-06,,対象は産後4ヶ月未満(流産・死産は1年未満)
港区,産後ケア事業,産後母子ケア宿泊型ショートステイ/デイサービス・乳房ケア事業,0,12,"非課税世帯は全額免除",クーポン・利用料減免,"宿泊型は最大7日間、施設により1泊1,000円台から",窓口(みなと保健所),母子健康手帳,0,,https://www.city.minato.tokyo.jp/chiikihoken/kodomo/boshi-shortstay.html,2026-09-06,,対象は生後1年未満の母子
千代田区,子ども医療費助成,こども・高校生等医療費助成制度,0,216,所得制限なし(23区共通方針。本ページでの明示的な文言は未確認),現物給付,0〜18歳到達後最初の3月31日まで、保険診療の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.chiyoda.lg.jp/koho/kosodate/teate/kodomoiryo.html,2026-09-06,,生活保護受給者・児童福祉施設入所児童・里親委託児童は対象外
中央区,子ども医療費助成,子ども医療費助成(マル乳・マル子・マル青),0,216,所得制限なし,現物給付,0〜18歳到達後最初の3月31日まで、保険診療の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.chuo.lg.jp/a0020/kosodate/kosodate/teatejosei/iryouhijosei/akimoto.html,2026-09-06,,高校生等(マル青)も所得制限なしと明記
港区,子ども医療費助成,子ども医療費助成,0,216,所得制限なし(令和5年4月に高校生等まで対象拡大した際の一般的な23区方針を踏襲と推定。本ページでの明示未確認),現物給付,0〜18歳到達後最初の3月31日まで、保険診療の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.minato.tokyo.jp/kosodatesien/kodomo/kate/kodomoiryo.html,2026-09-06,,要再確認: 所得制限の明示記載は検索結果からは見つからず
新宿区,子ども医療費助成,高校生等医療費助成(マル青),0,216,所得制限なし,現物給付,自己負担分(2〜3割)および入院時食事療養費の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.shinjuku.lg.jp/kodomo/kodomok01_000001_00013.html,2026-09-06,,マル青について所得制限なしと明記あり
文京区,子ども医療費助成,こども医療費助成,0,216,所得制限なし(0〜18歳全体としての記載。高校生年代個別の明記は未確認),現物給付,保険診療の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.bunkyo.lg.jp/b022/p001459/index.html,2026-09-06,,要再確認: 高校生年代(マル青)個別の所得制限記載は未確認
台東区,子ども医療費助成,子ども医療費助成制度(マル乳・マル子・マル青),0,216,"0歳〜中学3年生(マル子まで)は所得制限なし。高校生等(マル青、15〜18歳)は保護者の所得が一定基準以下の場合のみ対象という23区では珍しい例外あり",現物給付,保険診療の自己負担分を助成(高校生等は所得基準超過だと対象外),窓口,健康保険証等,0,,https://www.city.taito.lg.jp/kosodatekyouiku/kosodate/mokutei/teate_josei/iryohijosei/annai.html,2026-09-06,,"重要な差別化ポイント: 23区の多くが高校生まで所得制限なしの中、台東区は高校生年代のみ所得制限を維持している数少ない例"
墨田区,子ども医療費助成,子どもの医療費の助成(マル乳・マル子・マル青),0,216,所得制限なし(区が自己負担分を完全補填する方針との記載から推定。明示的な所得制限文言は未確認),現物給付,保険診療の自己負担分を区が完全補填,窓口 or オンライン,健康保険証等,0,,https://www.city.sumida.lg.jp/kosodate_kyouiku/kosodate_site/teate_jyosei_shien/teate_zyosei/jyosei/nyuuyouji_iryouhi.html,2026-09-06,,都外の医療機関では医療証は使えず、後日償還払いとなる点に注意
江東区,子ども医療費助成,子ども医療費助成,0,216,所得制限なし(23区共通方針とみられるが本ページでの明示未確認),現物給付,保険診療の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.koto.lg.jp/281011/kodomo/kosodate/teate/5844.html,2026-09-06,,要再確認: ページ本文までは未取得
品川区,子ども医療費助成,子どもすこやか医療費助成,0,216,所得制限の明示記載なし(検索結果では「区市町村により異なる」という一般論のみ。要個別確認),現物給付,保険診療の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.shinagawa.tokyo.jp/PC/kodomo/kodomo-iryohizyosei/hpg000017744.html,2026-09-06,,要再確認: 品川区独自の所得制限有無は未確認
目黒区,子ども医療費助成,子ども医療費助成制度,0,216,所得制限の明記なし(0〜18歳対象という記載のみ確認),現物給付,保険診療の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.meguro.tokyo.jp/kosodateshien/kosodatekyouiku/kosodate/toha.html,2026-09-06,,要再確認: マル青の名称・所得制限個別記載は検索結果になし
大田区,子ども医療費助成,児童医療費助成制度(乳・子・青医療証),0,216,所得制限なし,現物給付,通院・入院・調剤の自己負担0円,窓口 or オンライン,健康保険証等,0,,https://www.city.ota.tokyo.jp/seikatsu/kodomo/teate/kodomonyuui.html,2026-09-06,,健診・予防接種・差額ベッド代等は対象外と明記
世田谷区,子ども医療費助成,子ども医療費助成制度(マル乳・マル子・マル青),0,216,所得制限に関する具体的記載は検索結果から確認できず(要再確認),現物給付,保険診療の自己負担分を助成,窓口,健康保険証等,0,,https://www.city.setagaya.lg.jp/02413/1305.html,2026-09-06,,生活保護受給者・児童福祉施設入所児童・里親委託児童は対象外
渋谷区,子ども医療費助成,高校生等の子ども医療費助成(マル青),0,216,所得制限の明記は検索結果になし(23区共通方針に基づくと推定),現物給付,保険診療の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.shibuya.tokyo.jp/kodomo/kodomo-teate-josei/iryo-josei/page_00042.html,2026-09-06,,要再確認: 明示的な所得制限文言は未確認
中野区,子ども医療費助成,子ども医療費助成制度(マル乳・マル子・マル青),0,216,所得制限なし,現物給付,0〜18歳、保険診療の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,http://www.city.tokyo-nakano.lg.jp/kosodate/kosodatesite_ohirune/mokuteki/teate/iryohijyosei/kodomoiryojyosei.html,2026-09-06,,所得制限なしと明記あり
杉並区,子ども医療費助成,子どもの医療費助成(マル乳・マル子・マル青),0,216,所得制限なし(マル青について明記あり),現物給付,保険診療の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.suginami.tokyo.jp/kosodatekyouiku/kosodate/iryouhi/index.html,2026-09-06,,
豊島区,子ども医療費助成,子どもの医療費助成(マル青含む),0,216,所得制限なし,現物給付,自己負担分を助成。都内ルールの通院1回200円の自己負担分も区が独自に負担し実質窓口負担ゼロ。入院時食事負担金も対象,窓口,健康保険証等,0,,https://www.city.toshima.lg.jp/261/kosodate/kosodate/teate-jose/015729.html,2026-09-06,,"差別化ポイント: 他区にある200円自己負担すら豊島区は区費で肩代わりしている"
北区,子ども医療費助成,子ども医療費助成(概要),0,216,所得制限なし(23区共通方針とみられるが本ページでの明示未確認),現物給付,保険診療の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.kita.lg.jp/children-edu/childcare/1002909/1002913/1002914.html,2026-09-06,,要再確認: ページ本文までは未取得
荒川区,子ども医療費助成,乳幼児・子ども・高校生等医療費助成,0,216,所得制限なし,現物給付,保険診療の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.arakawa.tokyo.jp/a035/kosodate/teate/iryohijyosei.html,2026-09-06,,所得制限なしと明記あり
板橋区,子ども医療費助成,子どもの医療の助成(マル乳・マル子・マル青),0,216,所得制限の明記なし(窓口負担なしの記載のみ確認),現物給付,保険診療分の医療費の窓口負担なし,窓口 or オンライン,健康保険証等,0,,https://www.city.itabashi.tokyo.jp/kosodate/teate/iryohi/index.html,2026-09-06,,要再確認: 明示的な所得制限文言は未確認
練馬区,子ども医療費助成,子ども医療費の助成(マル乳・マル子・マル青),0,216,所得制限なし,現物給付,保険診療の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/josei.html,2026-09-06,,所得制限なしと明記あり
足立区,子ども医療費助成,子ども医療費助成制度(マル乳・マル子・マル青),0,216,所得制限なし(23区共通方針とみられるが本ページでの明示未確認),現物給付,保険診療の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.adachi.tokyo.jp/oyako/k-kyoiku/kosodate/teate-iryohijose.html,2026-09-06,,要再確認: ページ本文までは未取得
葛飾区,子ども医療費助成,子どもの医療費の助成(乳幼児・子ども・高校生等医療証),0,216,所得制限の明記なし(条例に基づく助成という説明のみ確認),現物給付,保険診療の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.katsushika.lg.jp/kosodate/1000056/1002336/1002421.html,2026-09-06,,要再確認: 明示的な所得制限文言は未確認
江戸川区,子ども医療費助成,子ども医療費助成制度,0,216,所得制限なし(23区共通方針とみられるが本ページでの明示未確認),現物給付,保険診療の自己負担分を助成,窓口 or オンライン,健康保険証等,0,,https://www.city.edogawa.tokyo.jp/e049/kosodate/kosodate/teateshien/iryoujosei.html,2026-09-06,,要再確認: ページ本文までは未取得
千代田区,紙おむつ・育児用品支給,,,,,,,,,0,,https://www.city.chiyoda.lg.jp/koho/kenko/koresha/dokuji-kaigo/kami.html,2026-09-06,,調査の結果、乳児向け育児用品の現物支給制度は確認できず(見つかった紙おむつ支給は高齢者向けのみ)
中央区,紙おむつ・育児用品支給,新生児誕生祝品(区内共通買物・食事券),0,0,なし,現物給付,区内共通買物・食事券(金額は要確認),窓口 or オンライン,出生届出後の申請,0,,https://www.city.chuo.lg.jp/a0020/kosodate/shussan/shussanshien/kaimonokenn.html,2026-09-06,,直接的な紙おむつ支給ではなく商品券。おむつ購入にも使える可能性あり
港区,紙おむつ・育児用品支給,港区赤ちゃん応援定期便(ファミリー・アテンダント事業),0,12,なし,現物給付,見守り支援員が訪問し、おむつ等育児用品を配布(見守り訪問付き),郵送案内 → オンライン申請,なし,0,2025年4月1日以降生まれの0歳児等が対象,https://www.city.minato.tokyo.jp/chiikihoken/akacyan-ouen.html,2026-09-06,,港区は別途、区立保育園等利用者向け紙おむつサブスクも実施
